account_id,account_manager,company_type,sub_team_id,geography,industry,sub_industry
A-0074900,beasohe,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0075329,beasohe,A,52,central,Other,Other
A-0080857,leube,D,52,central,Industrial & Engineering,Industrial Machinery & Equipment
A-0083586,lehae,E,52,central,Construction,Building Materials
A-0095943,lunig,A,52,central,Other,Other
A-0099443,lunig,A,52,central,Other,Other
A-0108657,beasohe,A,52,central,Other,Other
A-0123886,beasohe,A,52,central,Retail & Consumer Goods,DIY & Garden
A-0139271,beasohe,A,52,central,Technology,Computers & Peripherals
A-0144514,beasohe,A,52,central,Other,Other
A-0159457,reerlzk,B,56,central,Other,Other
A-0179543,lunig,A,52,central,Apparel,Textiles
A-0187100,maibanr,D,60,central,Technology,Electronic devices
A-0210671,lunig,A,52,central,Other,Other
A-0220171,beasohe,A,52,central,Other,Other
A-0228900,beasohe,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0262814,beasohe,A,52,central,Other,Other
A-0282314,maibanr,C,60,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0310886,errma,D,60,central,Food & Beverage,Food - Perishables & Fresh
A-0033443,beasohe,A,52,central,Retail & Consumer Goods,DIY & Garden
A-0375286,lunig,C,52,central,Food & Beverage,Beverages - Non alcoholic
A-0377786,mahkaos,D,59,central,Construction,Building Materials
A-0039043,beasohe,A,52,central,Other,Other
A-0411000,beasohe,E,52,central,Other,Other
A-0413186,peruon,D,59,central,Apparel,Apparel - Footware & shoes
A-0413214,lehae,A,52,central,Other,Other
A-0413443,lehae,C,52,central,Resources (Raw),Metal Ores
A-0413900,lunig,D,52,central,Technology,Technical Instruments
A-0420357,faaonr,D,61,central,Retail & Consumer Goods,Appliances
A-0422529,errma,D,60,central,Industrial & Engineering,Industrial Machinery & Equipment
A-0423071,toaarqrd,C,60,central,Retail & Consumer Goods,Cosmetics & Personal care
A-0423500,paarie,B,57,central,Food & Beverage,Food - Perishables & Fresh
A-0436457,totbefrt,E,71,origin,Other,Other
A-0437014,maveitn,C,60,central,Construction,Building Materials
A-0442414,nind,B,56,central,Resources (Raw),"Stones, Earthes & Minerals - Raw"
A-0454614,chsnoal,D,57,central,Retail & Consumer Goods,Entertainment & Leisure
A-0461286,dioive,A,54,west,Chemicals,Chemicals
A-0464529,leaborsk,D,55,south,Logistics,Other Logistics
A-0469429,errma,D,60,central,Industrial & Engineering,Industrial Machinery & Equipment
A-0469700,anéerkg,D,61,central,Healthcare,Medical Devices & Instruments
A-0474557,niachöof,D,60,central,Chemicals,Chemicals
A-0477314,toeumrh,D,60,central,Apparel,Apparel - General
A-0478271,alsraźn,C,70,east,Construction,Building Materials
A-0483286,söneck,D,68,central,Resources (Processed),Paper
A-0068071,lehae,E,52,central,Other,Other
A-0072543,beasohe,A,52,central,Other,Other
A-0075857,beasohe,A,52,central,Other,Other
A-0083529,lehae,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0085286,lehae,E,52,central,Technology,Electronic components
A-0087657,beasohe,A,52,central,Other,Other
A-0099057,tisch,E,52,central,Other,Other
A-0104629,beasohe,A,52,central,Other,Furniture & Lighting
A-0109229,beasohe,A,52,central,Retail & Consumer Goods,"Toys, Sports & Hobbies"
A-0130371,lunig,A,52,central,Retail & Consumer Goods,Cosmetics & Personal care
A-0140386,lunig,C,52,central,Automotive,Automotive - Components & Spare parts
A-0141857,lunig,A,52,central,Retail & Consumer Goods,Pet care
A-0145943,toaarqrd,A,60,central,Other,Other
A-0176671,beasohe,A,52,central,Other,Other
A-0206486,beasohe,A,52,central,Other,Other
A-0214343,lunig,A,52,central,Other,Other
A-0234571,peruon,C,59,central,Industrial & Engineering,Industrial Machinery & Equipment
A-0241286,lehae,A,59,central,Other,Other
A-0259500,lunig,A,52,central,Other,Others
A-0319886,lehae,C,52,central,Retail & Consumer Goods,Cosmetics & Personal care
A-0320500,lunig,A,52,central,Other,Other
A-0033600,lunig,A,52,central,Apparel,Apparel - General
A-0338514,thuranru,D,59,central,Resources (Processed),Metals
A-0036643,lunig,A,52,central,Other,Other
A-0369543,lehae,A,52,central,Other,Other
A-0038500,nonvanr,C,60,central,Other,Other
A-0386086,lehae,A,52,central,Other,Other
A-0402871,tije,D,52,central,Other,Other
A-0408200,lehae,A,52,central,Healthcare,Medical Devices & Instruments
A-0412800,lehae,A,52,central,Other,Other
A-0420200,conhma,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0421471,sahreu,A,52,central,Technology,Computers & Peripherals
A-0421771,jaleiho,D,66,central,Retail & Consumer Goods,Furniture & Furnishings
A-0432229,mahkaos,D,59,central,Other,Other
A-0432800,jaleiho,D,66,central,Retail & Consumer Goods,DIY & Garden
A-0434371,mièmas,B,68,central,Construction,Building Materials
A-0439143,lunig,A,52,central,Retail & Consumer Goods,Appliances
A-0445514,heiwie,C,52,central,Retail & Consumer Goods,Furniture & Furnishings
A-0450357,lehae,C,52,central,Retail & Consumer Goods,Household supplies
A-0456629,mièmas,B,68,central,Resources (Processed),Cardboard & Packaging
A-0459357,mihliel,D,69,central,Logistics,Freight Forwarding
A-0472543,paortre,A,54,west,Construction,Construction Services
A-0047400,beasohe,A,52,central,Other,Other
A-0484171,rormars,A,50,north,Other,Other
A-0484257,zuydin,D,59,central,Other,Other
A-0485000,zuydin,D,59,central,Other,Other
A-0485229,słobosł,C,70,east,Automotive,Automotive - Components & Spare parts
A-0487571,mahkor,E,48,central,Apparel,Other
A-0056029,beasohe,A,52,central,Retail & Consumer Goods,"Toys, Sports & Hobbies"
A-0089943,lunig,A,52,central,Other,Other
A-0147471,beasohe,A,52,central,Other,Other
A-0156929,beasohe,A,52,central,Other,Other
A-0195014,beasohe,A,52,central,Technology,Electronic devices
A-0221171,beasohe,A,52,central,Other,Other
A-0227286,lunig,A,52,central,Other,Others
A-0240314,daeali,D,60,central,Industrial & Engineering,Industrial Machinery & Equipment
A-0255229,beasohe,A,52,central,Other,Other
A-0277057,beasohe,A,52,central,Other,Other
A-0303000,peruon,C,59,central,Retail & Consumer Goods,Household supplies
A-0304457,lunig,A,52,central,Retail & Consumer Goods,"Toys, Sports & Hobbies"
A-0321700,beasohe,A,52,central,Food & Beverage,Food - Perishables & Fresh
